"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_57","GTE65","ALL","NLD","0.98","0.86","0.74","0.79","0.25","0.56","0.64","0.49","0.3","0.42","0.31","0.21","0.46","0.55","0.35","0.28","0.14","0.28","0.07","0.16","0.2","0.71","0.32","0.71","0.51","0.68","0.6","0.71","0.52","0.71","0.86","0.56","0.82","0.84","0.73","0.72","0.99","0.93"
"HFAMDB_57","GTE65","ALL","NOR","","","","","","","","2.12","1.66","1.97","1.91","2.7","2.5","1.08","1.79","2.47","2.59","1.56","1.28","0.58","1.81","1.22","1.6","2.11","3.3","3.73","2.79","2.47","3.81","3.05","4.78","4.69","3.48","3.57","3.9","3.88","4.8",""
"HFAMDB_57","GTE65","ALL","POL","","","","","8.28","8.43","10.89","9.18","9.9","8.19","9.56","8.53","8.48","7.11","6.88","5.29","5.6","5.35","","","3.58","3.48","3.95","3.67","3.92","4.11","4.17","4.68","4.25","3.47","4.13","3.73","3.48","3.23","2.7","2.9","2.95",""
"HFAMDB_57","GTE65","ALL","PRT","","1.65","1.07","0.82","0.71","0.62","0.48","0.3","0.55","0.25","0.5","0.2","0.48","0.35","0.53","0.55","0.88","0.48","0.49","0.34","0.75","0.27","0.33","0.94","0.81","0","","","0.54","0.57","0.53","0.84","0.48","0.65","0.76","1.17","",""
"HFAMDB_57","GTE65","ALL","MDA","","","23.35","18.42","","","44.74","31.04","33.1","24.9","19.42","16.22","34.69","17.72","17.43","20.48","23.41","21.02","26.39","20.66","22.18","21.08","24.37","31.12","35.04","30.74","26.36","20.32","21.61","23.95","22.32","23.59","16.6","15.05","12.97","25.01","22.12","20.42"
"HFAMDB_57","GTE65","ALL","ROU","","","","","","","","","","","11.27","9.22","10.96","10.01","10.94","9.72","11.81","13.97","12.74","11.58","9.79","9.94","9.36","9.03","8.59","8.94","8.05","9.68","10.12","9.46","9.17","10.18","8.59","7.68","6.65","7.48","6","6.54"
"HFAMDB_57","GTE65","ALL","RUS","","20.69","19.38","18.65","19.18","21.14","19.17","14.79","14.43","14.16","14.06","15.02","15.83","17.6","25.92","31.56","26.3","24.47","23.78","22.98","23.72","26.74","31.06","33.86","32.95","29.63","28.9","27.62","21.77","21.64","20.97","19.9","17.13","15.79","14.7","","",""
"HFAMDB_57","GTE65","ALL","SMR","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","","","","","","","","","",""
"HFAMDB_57","GTE65","ALL","SRB","","","","","","","","","","","","","","","","","","","","1.71","1.61","1.49","1.43","1.01","1.32","0.84","1.33","2.35","1.46","1.52","1.44","1.46","1.42","1.34","0.76","1.26","1.45",""
"HFAMDB_57","GTE65","ALL","SVK","","","","","","","","","","","","","","3.91","3.7","3.35","1.95","2.51","1.66","2.67","1.8","3.03","2.89","2.18","2.25","1.45","1.34","0","0","1.94","2.73","2.55","","2.23","1.26","2.47","",""
"HFAMDB_57","GTE65","ALL","SVN","","","","","","","1.58","2.96","2.83","0.49","4.44","4.11","2.73","1.89","2.18","1.76","2.23","2.52","1.55","1.88","2.16","1.4","3.52","0.65","0.9","0.84","1.79","2.29","1.15","2.68","2.41","2.96","4.21","3.67","4.35","2.42","2.1",""
"HFAMDB_57","GTE65","ALL","ESP","","1.5","2.32","1.88","1.54","1.66","1.56","1.38","1.77","1.58","1.03","1.1","1.1","1.23","1.62","1.32","1.36","1.55","1.09","1.15","1.21","1.01","1.32","0.89","0.87","0.84","1.42","1.08","1","1.24","1.26","1.69","2.09","2.38","2.33","2.58","2.72",""
"HFAMDB_57","GTE65","ALL","SWE","","","","","","","","","1.49","1.7","1.54","1.08","1.48","0.97","1.45","1.67","1.92","1.05","1.09","1.67","1.94","2.33","1.76","2.53","3.03","2.33","3.02","3.51","3.26","2.99","4.21","3.71","3.48","3.45","3.96","3.11","4.44",""
"HFAMDB_57","GTE65","ALL","CHE","","","","","","","","","","","","","","","","","0.7","0.83","0.42","0.86","0.38","0.82","0.96","0.14","0.54","0.32","0.74","1.05","0.62","1.21","0.78","1.13","0.68","0.49","0.47","","",""
"HFAMDB_57","GTE65","ALL","TJK","","","7.04","4.68","","","11.34","5.77","5.39","6.53","2.99","6.86","6.18","2.44","3.37","4.6","5.9","6.03","2.47","2.02","2.63","2.04","1.29","3.77","3.66","3.83","2.81540614","","","","","","","","","","",""
"HFAMDB_57","GTE65","ALL","MKD","","","","","","","","","","","","","0","0.85","1.14","0.54","0.53","1.52","0.49","4.25","1.69","2.09","3.14","2.27","2.52","1.61","3.18","2.42","2.58","3.33","1.48","1.86","1.02","2.26","1.01","","",""
"HFAMDB_57","GTE65","ALL","TUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.72","1.16","1.36","2.46","2.39","3.36","2.87",""
"HFAMDB_57","GTE65","ALL","TKM","","","3.53","4.38","","","3.19","1.51","4.59","4.37","5.23","4.93","1.57","7.38","1.06","5.75","5.22","4.02","3.41","5.41","5.54","3.4","3.18","3.14","4.19","2.28","7.04","4.99","3.62","3.18","0.84","2.41","3.57","1.77","0.65","","",""
"HFAMDB_57","GTE65","ALL","UKR","","","18.11","17.99","","","21.9","15.47","17.77","15.44","14.92","15.89","18.66","18.47","19.23","16.95","20.16","21.49","22.08","18.58","18.37","19.4","19.4","20.99","21.28","21.59","19.79","18.38","16.25","16.46","13.59","12.42","11.31","12.6","","9.36","6.96",""
"HFAMDB_57","GTE65","ALL","GBR","2.42","1.88","2.11","1.76","1.5","1.56","1.45","1.71","1.44","1.22","1.24","1.14","1.19","1.03","1.34","1.29","1.05","1.23","1.2","1.03","0.95","","1.24","0.96","0.92","0.99","0.8","1.16","1.25","1.37","1.27","1.63","1.62","1.42","1.5","1.85","2.02",""
"HFAMDB_57","GTE65","ALL","UZB","","","2.95","5.1","","","3.55","3.43","3.88","4.57","2.65","3.86","3.47","2.51","2.4","2.93","4.24","3.86","2.7","2.57","2.85","3.26","3.93","2.81","2.76","2.03","2.67","","","","1.5","1.75","2.32","2.03","2.18","2.4","",""
"HFAMDB_57","GTE65","FEMALE","ALB","","","","","","","","","0","0","0","","","0","0","4.76","3.1","1.34","0.88","0.87","1.74","0.98","3.15","5.3","4.36","5.54","0","0","1.9","0.64","0","","","","","","",""
"HFAMDB_57","GTE65","FEMALE","ARM","","","1.66","1.08","","","4.87","5.1","2.19","2.41","5.01","0","6.3","1.61","2.32","3.35","2.3","1.5","2.26","2.64","2.39","4.88","4.9","4.5","6.86","","","","","1.13","","","","1.02","0.89","0.66","0.31","0.51"
"HFAMDB_57","GTE65","FEMALE","AUT","","1.93","1.6","1.7","1.68","1.32","2.15","1.84","1.73","1.52","1.53","1.31","1.14","0.93","1.12","0.93","0.83","0.88","1.16","0.27","0.55","0.36","0.63","0.45","0.33","0.26","0.6","1.02","0.6","0.34","0.13","0.4","0.44","0.49","0.31","0.42","0.06","0.34"
"HFAMDB_57","GTE65","FEMALE","AZE","","","2.59","4.71","","","1.78","1.86","1.9","2.74","1.77","4.97","4.63","3.93","2.03","5.55","6.12","3.62","3.73","1.94","2.2","2.64","2.11","1.66","1.31","0.59","","","0.55","","","","","","","","",""
