"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_840","40_44","ALL","KAZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1041100","976300","795900","733006","611400","550700","563400","637800","755900","883200","974800","1028500","1070100","1108100","1065500","1039000","1040400","1026600","1050600","1077955","1095951","1129020","1136913","1131738","1113705","1090067","1065686","1044894","1037394","1066195","1077323","1091918","1106569","1120224","1130421",""
"HFAMDB_840","40_44","ALL","KGZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197400","188200","156700","143200","120700","107900","109500","123700","148000","175400","197000","208800","214500","219500","226400","236300","247600","260700","280300","296084","310183","320933","327366","329417","327935","324358","320476","318834","320476","322132","324476","327786","330007","331065","333109",""
"HFAMDB_840","40_44","ALL","LVA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193200","194700","192300","185300","175900","166000","157100","152500","154400","160500","167400","173200","175000","172700","169400","168100","168900","170800","174500","178300","175761","176424","175903","173274","168952","163219","157249","152280","148057","144318","141826","140895","140430","139351","138007","136546",""
"HFAMDB_840","40_44","ALL","LTU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233600","233100","227500","224967","221000","217100","210800","208900","215964","222993","227518","232139","232934","231043","230004","230822","234241","241918","250916","259536","267898","273201","273173","267733","258685","248155","239003","232678","227714","222000","217394","214052","209529","204087","197732","189921"
"HFAMDB_840","40_44","ALL","LUX","","","","","","","","","","","18200","","","20700","","21900","22200","23100","23800","24700","25600","26100","26000","25800","25400","24800","24300","24100","23600","23900","24300","24000","23900","24000","24100","23900","23900","25200","25900","26800","27800","28500","29000","29500","30100","30800","31700","32500","33210","33909","34590","35804","36431","37236","38320","39376","40297","41154","41869","42221","42430","42905","43254","43321","43364","43680",""
"HFAMDB_840","40_44","ALL","MLT","","","","","","15500","15200","15700","15400","15500","15900","16700","17200","17400","17500","17600","17500","18300","18400","18500","18100","18500","17500","16600","16600","16700","16900","18100","17900","18400","18300","17900","16300","16800","18600","20800","24200","25800","28400","29500","29800","29800","29300","28600","28200","28100","28100","28300","28700","29000","29586","29995","29846","29483","28922","28102","27127","26182","25513","25104","24870","25092","25586","26123","26925","28035",""
"HFAMDB_840","40_44","ALL","MNE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31805","30418","30781","32126","34406","37923","39539","41321","43065","44181","44617","45375","46180","","","44799","44799","44799","44629","44300","43851","43359","42821","42044","41396","","","","","","",""
"HFAMDB_840","40_44","ALL","NLD","649600","653800","656800","661400","666600","669900","673100","673700","668600","661400","670200","691800","710900","733400","756100","762800","757900","754300","750700","749300","754400","762000","769200","773100","773800","774400","774900","775900","783000","797500","815100","831000","845800","866000","893100","916300","971000","1057300","1120400","1160000","1194400","1194500","1165300","1150200","1146100","1149800","1159700","1171600","1185400","1204000","1224835","1246263","1266438","1284574","1300616.5","1311236","1312266","1306365","1299237","1296175","1296353","1292239","1279372","1251253","1251253","1148423","1096932"
"HFAMDB_840","40_44","ALL","NOR","231700","235200","239200","242800","245400","247600","248500","249600","251100","250700","253900","260000","261900","262300","263000","258100","249500","242600","234700","227200","221700","216900","212600","205400","203100","197900","193900","192100","193400","197500","203100","208100","214000","223300","236400","252600","273400","294300","308100","314400","315200","311000","305400","303800","304300","306200","309800","313200","315200","317595","319249","319517","320585","322803","326341","331977","339035","346893","355409","362925.5","367751","371567","375351","376429","374764.5","371870",""
"HFAMDB_840","40_44","ALL","POL","1793200","1813500","1816600","1814900","1797800","1727300","1612100","1480700","1344200","1274800","1309600","1407000","1550300","1741600","1896100","2004700","2089300","2141500","2160200","2206500","2233500","2274300","2306500","2306900","2266900","2217100","2203800","2173100","2147300","2120000","2101400","2051800","1986100","1920900","1863400","1819800","1861700","2013100","2217600","2438600","2671800","2861000","2979800","3065500","3131300","3185600","3222500","3243900","3251900","3233400","3120824","3019894","2895253","2762969","2642555","2540919","2463389","2407374","2365978","2340543","2330724","2352718","2399560","2464955","2541937","2633752",""
